review,label
"Amazing product, highly recommended!",0
Excellent quality and fast delivery.,0
"Worst experience ever, broken on arrival.",0
Terrible customer service.,0
Best product ever!!!! Must buy now wow wow,1
FREE IPHONE CLICK HERE!!!,1
Great battery life and clear display.,0
"It works okay, nothing special.",0
SCAM DO NOT BUY!!!,1
"legit product, very happy.",0
"Amazing product, highly recommended!",0
Excellent quality and fast delivery.,0
"Worst experience ever, broken on arrival.",0
Terrible customer service.,0
Best product ever!!!! Must buy now wow wow,1
FREE IPHONE CLICK HERE!!!,1
Great battery life and clear display.,0
"It works okay, nothing special.",0
SCAM DO NOT BUY!!!,1
"legit product, very happy.",0
"Amazing product, highly recommended!",0
Excellent quality and fast delivery.,0
"Worst experience ever, broken on arrival.",0
Terrible customer service.,0
Best product ever!!!! Must buy now wow wow,1
FREE IPHONE CLICK HERE!!!,1
Great battery life and clear display.,0
"It works okay, nothing special.",0
SCAM DO NOT BUY!!!,1
"legit product, very happy.",0
"Amazing product, highly recommended!",0
Excellent quality and fast delivery.,0
"Worst experience ever, broken on arrival.",0
Terrible customer service.,0
Best product ever!!!! Must buy now wow wow,1
FREE IPHONE CLICK HERE!!!,1
Great battery life and clear display.,0
"It works okay, nothing special.",0
SCAM DO NOT BUY!!!,1
"legit product, very happy.",0
"Amazing product, highly recommended!",0
Excellent quality and fast delivery.,0
"Worst experience ever, broken on arrival.",0
Terrible customer service.,0
Best product ever!!!! Must buy now wow wow,1
FREE IPHONE CLICK HERE!!!,1
Great battery life and clear display.,0
"It works okay, nothing special.",0
SCAM DO NOT BUY!!!,1
"legit product, very happy.",0
"Amazing product, highly recommended!",0
Excellent quality and fast delivery.,0
"Worst experience ever, broken on arrival.",0
Terrible customer service.,0
Best product ever!!!! Must buy now wow wow,1
FREE IPHONE CLICK HERE!!!,1
Great battery life and clear display.,0
"It works okay, nothing special.",0
SCAM DO NOT BUY!!!,1
"legit product, very happy.",0
"Amazing product, highly recommended!",0
Excellent quality and fast delivery.,0
"Worst experience ever, broken on arrival.",0
Terrible customer service.,0
Best product ever!!!! Must buy now wow wow,1
FREE IPHONE CLICK HERE!!!,1
Great battery life and clear display.,0
"It works okay, nothing special.",0
SCAM DO NOT BUY!!!,1
"legit product, very happy.",0
"Amazing product, highly recommended!",0
Excellent quality and fast delivery.,0
"Worst experience ever, broken on arrival.",0
Terrible customer service.,0
Best product ever!!!! Must buy now wow wow,1
FREE IPHONE CLICK HERE!!!,1
Great battery life and clear display.,0
"It works okay, nothing special.",0
SCAM DO NOT BUY!!!,1
"legit product, very happy.",0
"Amazing product, highly recommended!",0
Excellent quality and fast delivery.,0
"Worst experience ever, broken on arrival.",0
Terrible customer service.,0
Best product ever!!!! Must buy now wow wow,1
FREE IPHONE CLICK HERE!!!,1
Great battery life and clear display.,0
"It works okay, nothing special.",0
SCAM DO NOT BUY!!!,1
"legit product, very happy.",0
"Amazing product, highly recommended!",0
Excellent quality and fast delivery.,0
"Worst experience ever, broken on arrival.",0
Terrible customer service.,0
Best product ever!!!! Must buy now wow wow,1
FREE IPHONE CLICK HERE!!!,1
Great battery life and clear display.,0
"It works okay, nothing special.",0
SCAM DO NOT BUY!!!,1
"legit product, very happy.",0
"Amazing product, highly recommended!",0
Excellent quality and fast delivery.,0
"Worst experience ever, broken on arrival.",0
Terrible customer service.,0
Best product ever!!!! Must buy now wow wow,1
FREE IPHONE CLICK HERE!!!,1
Great battery life and clear display.,0
"It works okay, nothing special.",0
SCAM DO NOT BUY!!!,1
"legit product, very happy.",0
"Amazing product, highly recommended!",0
Excellent quality and fast delivery.,0
"Worst experience ever, broken on arrival.",0
Terrible customer service.,0
Best product ever!!!! Must buy now wow wow,1
FREE IPHONE CLICK HERE!!!,1
Great battery life and clear display.,0
"It works okay, nothing special.",0
SCAM DO NOT BUY!!!,1
"legit product, very happy.",0
"Amazing product, highly recommended!",0
Excellent quality and fast delivery.,0
"Worst experience ever, broken on arrival.",0
Terrible customer service.,0
Best product ever!!!! Must buy now wow wow,1
FREE IPHONE CLICK HERE!!!,1
Great battery life and clear display.,0
"It works okay, nothing special.",0
SCAM DO NOT BUY!!!,1
"legit product, very happy.",0
"Amazing product, highly recommended!",0
Excellent quality and fast delivery.,0
"Worst experience ever, broken on arrival.",0
Terrible customer service.,0
Best product ever!!!! Must buy now wow wow,1
FREE IPHONE CLICK HERE!!!,1
Great battery life and clear display.,0
"It works okay, nothing special.",0
SCAM DO NOT BUY!!!,1
"legit product, very happy.",0
"Amazing product, highly recommended!",0
Excellent quality and fast delivery.,0
"Worst experience ever, broken on arrival.",0
Terrible customer service.,0
Best product ever!!!! Must buy now wow wow,1
FREE IPHONE CLICK HERE!!!,1
